,Name,Duration,Wind speed,Pressure,Areas affected,Deaths,Damage,REf,Category
309,Ernesto,"August 1 – 10, 2012",100 mph (155 km/h),973 hPa (28.73 inHg),"Windward Islands, Jamaica, Central America, Mexico",12,,[304],2
310,Gordon,"August 15 – 20, 2012",110 mph (175 km/h),965 hPa (28.50 inHg),Azores,None,None,[305],2
311,Kirk,"August 28 – September 4, 2012",105 mph (165 km/h),970 hPa (28.64 inHg),None,None,None,[306],2
312,Arthur,"July 1 – 5, 2014",100 mph (155 km/h),973 hPa (28.73 inHg),"Bahamas, North Carolina, Nova Scotia",1,,[307],2
313,Gert,"August 12 – 17, 2017",110 mph (175 km/h),962 hPa (28.41 inHg),"Bermuda, United States East Coast, Atlantic Canada",2,Unknown,[308],2
314,Katia,"September 5 – 9, 2017",105 mph (165 km/h),972 hPa (28.70 inHg),Mexico,3,,[309],2
315,Chris,"July 6 – 12, 2018",105 mph (165 km/h),969 hPa (28.61 inHg),"Bermuda, Iceland",1,Minimal,[310],2
316,Helene,"September 7 – 16, 2018",110 mph (175 km/h),967 hPa (28.56 inHg),"West Africa, Cape Verde, Azores",3,Minimal,[311],2
317,Oscar,"October 26 – 31, 2018",110 mph (175 km/h),966 hPa (28.53 inHg),Faroe Islands,None,None,[312],2
318,Jerry,"September 17 – 24, 2019",105 mph (165 km/h),976 hPa (28.82 inHg),None,None,None,[313],2
319,Paulette,"September 7 – 23, 2020",105 mph (165 km/h),965 hPa (28.50 inHg),Bermuda,1,,[314],2
320,Sally,"September 11 – 17, 2020",110 mph (175 km/h),965 hPa (28.50 inHg),"The Bahamas, Cuba, United States Gulf Coast",8,,[315],2
321,San Pedro,"September 9–15, 1921",125 mph (205 km/h),961 hPa (28.38 inHg),"Windward Islands, Greater Antilles",80,,[12],3
322,Unnamed,"September 16–22, 1922 †",120 mph (195 km/h),960 hPa (28.35 inHg),"Leeward Islands, Bermuda",,,,3
323,Unnamed,"September 29–30, 1923",120 mph (195 km/h),960 hPa (28.35 inHg),"Bahamas, Newfoundland",,,,3
324,Unnamed,"August 22–24, 1924",120 mph (195 km/h),960 hPa (28.35 inHg),"Puerto Rico, East Coast of the United States",2,,[70],3
325,Unnamed,"August 2–6, 1926",120 mph (195 km/h),968 hPa (28.59 inHg),"Bermuda, Atlantic Canada",55,,[71][72],3
326,Unnamed,"August 25, 1926",115 mph (185 km/h),955 hPa (28.20 inHg),Louisiana,25,,[73][74],3
327,Unnamed,"August 21–24, 1927",125 mph (205 km/h),950 hPa (28.05 inHg),"East Coast of the United States, Atlantic Canada",175,,[75],3
328,Unnamed,"August 25–27, 1930",125 mph (205 km/h),960 hPa (28.35 inHg),Bermuda,,,[76],3
329,Unnamed,"October 5–6, 1933",125 mph (205 km/h),958 hPa (28.29 inHg),"Jamaica, Cuba, Florida, Bahamas, Atlantic Canada",10,,[77][78],3
330,Unnamed,"November 23–24, 1934",115 mph (185 km/h),955 hPa (28.20 inHg),Bermuda,,,[79],3
331,Unnamed,"September 15–17, 1936",120 mph (195 km/h),962 hPa (28.41 inHg),East Coast of the United States,2,,[80],3
332,Unnamed,"August 15–17, 1937",125 mph (205 km/h),951 hPa (28.08 inHg),No land areas,,,,3
333,Unnamed,"August 25–26, 1938",120 mph (195 km/h),964 hPa (28.47 inHg),Mexico,,,[81],3
334,Unnamed,"September 23, 1941",125 mph (205 km/h),942 hPa (27.82 inHg),"Central United States, Canada",7,,[82][83],3
335,Unnamed,"October 5, 1941",120 mph (195 km/h),962 hPa (28.41 inHg),"Bahamas, Southeastern United States",10,,[82][84],3
336,Unnamed,"August 29–30, 1942",115 mph (185 km/h),950 hPa (28.05 inHg),"Mexico, Texas",8,,[85],3
337,Unnamed,"September 3–5, 1943",120 mph (195 km/h),,"Bermuda, Atlantic Canada",,,[86],3
338,Unnamed,"August 19–20, 1944",120 mph (195 km/h),963 hPa (28.44 inHg),"Windward Islands, Jamaica, Mexico",216,,[87],3
339,Unnamed,"August 26–27, 1945",115 mph (185 km/h),963 hPa (28.44 inHg),Texas,3,,[88],3
340,Love,"October 19–20, 1947",120 mph (195 km/h),961 hPa (28.38 inHg),Bermuda,,,[89],3
341,Able,"August 28–29, 1948",120 mph (195 km/h),983 hPa (29.03 inHg),"East Coast of the United States, Atlantic Canada",,,[90][91],3
342,Fox,"October 5, 1948",125 mph (205 km/h),971 hPa (28.67 inHg),"Cuba, Florida, Bahamas, Bermuda",11,,[90][92],3
343,Unnamed,"September 6–10, 1949",125 mph (205 km/h),974 hPa (28.76 inHg),"Bermuda, Newfoundland",,,[93],3
344,Able,"August 17–20, 1950",115 mph (185 km/h),978 hPa (28.88 inHg),"East Coast of the United States, Atlantic Canada",11,,[94][95],3
345,Easy,"September 5, 1950",120 mph (195 km/h),958 hPa (28.29 inHg),"Cuba, Florida",2,,[96],3
346,Jig,"October 15, 1950",115 mph (185 km/h),987 hPa (29.15 inHg),No land areas,,,,3
347,Fox,"September 7–8, 1951",115 mph (185 km/h),978 hPa (28.88 inHg),No land areas,,,,3
348,Charlie,"September 26–27, 1952",120 mph (195 km/h),980 hPa (28.94 inHg),"Puerto Rico, Bermuda",4,,[97],3
349,Edna,"September 17–18, 1953",115 mph (185 km/h),962 hPa (28.41 inHg),Bermuda,,,[98],3
350,Florence,"September 25, 1953",115 mph (185 km/h),968 hPa (28.59 inHg),Gulf Coast of the United States,,,[99],3
